PROVINCIA;CANTÓN;MES;DIA;HORA;ZONA;NUM_FALLECIDO;NUM_LESIONADO;TOTAL_VICTIMAS;CLASE;CAUSA
9;0928;1;7;23;2;0;1;1;3;7
13;1306;1;7;23;2;0;0;0;7;4
9;0920;1;1;4;2;0;1;1;3;4
9;0912;1;1;7;2;0;2;2;3;4
13;1309;1;1;11;2;0;2;2;3;7
9;0918;1;1;11;2;0;1;1;5;4
17;1703;1;1;12;2;1;0;1;6;4
9;0910;1;1;14;2;0;1;1;3;4
9;0920;1;1;15;2;0;1;1;3;4
9;0916;1;1;16;2;0;3;3;5;4
7;0701;1;1;16;2;0;1;1;3;4
23;2301;1;1;17;2;0;0;0;3;4
1;0104;1;1;19;2;0;0;0;7;4
9;0909;1;2;3;2;0;1;1;4;4
9;0901;1;2;6;2;0;1;1;4;4
9;0906;1;2;7;2;0;1;1;3;7
13;1301;1;2;9;2;0;0;0;3;7
9;0911;1;2;9;2;0;2;2;3;7
9;0924;1;2;10;2;0;1;1;3;7
12;1208;1;2;10;1;0;1;1;3;7
9;0909;1;2;11;1;0;1;1;3;7
17;1703;1;2;13;2;0;0;0;7;4
13;1313;1;2;17;2;0;1;1;3;7
9;0910;1;2;17;2;0;1;1;2;5
1;0101;1;2;20;2;0;0;0;7;4
12;1201;1;3;11;2;0;1;1;2;5
13;1306;1;3;11;2;0;1;1;3;4
1;0103;1;3;14;2;0;2;2;3;7
9;0901;1;3;15;2;0;1;1;5;4
23;2301;1;3;17;2;0;0;0;7;4
9;0912;1;3;20;1;0;0;0;4;4
12;1204;1;4;5;2;0;0;0;7;4
12;1210;1;4;6;2;0;0;0;3;4
1;0103;1;4;8;2;0;1;1;1;4
9;0916;1;4;9;2;0;0;0;3;4
12;1203;1;4;19;2;0;2;2;3;7
9;0911;1;4;20;2;1;0;1;1;4
24;2403;1;4;20;2;0;2;2;3;7
9;0904;1;4;20;2;0;1;1;7;4
13;1301;1;4;21;2;0;3;3;7;4
12;1207;1;5;6;1;0;1;1;6;4
