Segmento;Tráfico;Movimiento;TipoVuelo;Origen;Destino;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
1;1;1;2;Viru Viru;Manta;116;0;0;0;116;0;0;0;0;0;0;0;0
1;1;2;2;Manta;Manaos;49;0;0;0;49;0;0;0;0;0;0;0;0
1;1;2;2;Manta;Medellín;68;0;0;0;0;0;0;0;68;0;0;0;0
1;1;2;2;Manta;Pisco;129;0;0;0;0;129;0;0;0;0;0;0;0
1;1;2;2;Manta;Punta Cana (Rep. Dominicana);343;0;0;0;0;0;0;0;28;0;149;72;94
1;1;2;2;Manta;Tarija (Bolivia);117;0;0;0;117;0;0;0;0;0;0;0;0
1;1;2;2;Manta;Viru Viru;140;0;0;0;0;0;140;0;0;0;0;0;0
1;1;1;2;Cali;Esmeraldas;1004;0;0;0;0;0;0;68;183;102;200;221;230
1;1;2;2;Esmeraldas;Cali;1122;0;0;0;0;0;0;87;175;128;180;216;336
1;2;3;1;Quito;Guayaquil;628946;43856;47173;52665;53480;51641;51263;57748;56408;50880;55596;52758;55478
1;2;3;1;Guayaquil;Quito;628883;47619;48267;55135;53009;51835;50218;54565;58086;51108;54848;52814;51379
1;2;3;1;Quito;Cuenca;223968;15808;17504;18509;18903;19531;18820;22755;22162;18047;16623;18091;17215
1;2;3;1;Cuenca;Quito;222592;18055;17694;18990;20110;19284;17946;22017;22195;18159;15076;18282;14784
1;2;3;1;Guayaquil;Cuenca;25603;1820;2007;2261;1651;2406;2236;2558;2603;2125;2003;1545;2388
1;2;3;1;Cuenca;Guayaquil;26338;2005;2171;2439;1855;2313;2336;2696;2593;2284;2005;1804;1837
1;2;3;1;Manta;Baltra;2648;687;493;984;484;0;0;0;0;0;0;0;0
1;2;3;1;Baltra;Manta;3245;940;498;1221;586;0;0;0;0;0;0;0;0
1;2;3;1;Quito;Baltra;141028;11131;11356;13070;11499;12024;12101;13828;12889;9877;10499;10973;11781
1;2;3;1;Baltra;Quito;131697;11347;10694;12832;10849;10568;11647;12762;12606;9866;9269;9307;9950
1;2;3;1;Guayaquil;Baltra;102758;7319;8062;10187;10261;8342;7986;9243;10302;8244;7764;7082;7966
1;2;3;1;Baltra;Guayaquil;106762;8396;8488;11299;10126;8590;7551;9288;11103;8592;7865;7858;7606
1;2;3;1;Quito;San Cristóbal;54059;4195;4252;5234;4765;4219;4194;5893;5511;3360;3863;4157;4416
1;2;3;1;San Cristóbal;Quito;50646;4621;3936;4766;4090;3662;4101;5608;5386;3695;3590;3601;3590
1;2;3;1;Guayaquil;San Cristóbal;50183;3864;4248;5525;4777;3819;3710;4579;4323;4280;3315;3420;4323
1;2;3;1;San Cristóbal;Guayaquil;59553;5078;4888;6451;5986;4495;4101;4861;5474;4985;4477;4318;4439
1;2;3;1;Quito;Coca;68165;5754;5529;5675;5764;5810;5553;6204;5617;5164;5508;5564;6023
1;2;3;1;Coca;Quito;68557;5488;5594;5952;5658;5844;5822;6081;5940;5033;5400;5461;6284
1;2;3;1;Quito;Loja;82454;5492;6095;6594;6374;7296;6629;7437;8292;6726;6948;6817;7754
1;2;3;1;Loja;Quito;80145;6594;6274;6775;6466;7325;6073;6819;7925;6798;6481;6500;6115
1;2;3;1;Quito;Manta;141383;10491;10924;13370;12843;11487;10879;13803;14935;10585;11078;9911;11077
1;2;3;1;Manta;Quito;143077;11793;11752;13540;13225;11410;10930;13761;15184;11318;10623;10183;9358
1;2;3;1;Quito;Santa Rosa;29122;2004;1932;2507;2431;2499;2568;2796;2629;2293;2456;2400;2607
1;2;3;1;Santa Rosa;Quito;29329;2375;2189;2649;2384;2378;2376;2590;2910;2300;2395;2392;2391
2;2;3;1;Quito;Guayaquil;552,4465179;35,47303571;51,53205357;54,92142857;50,17473214;51,08910714;43,89491071;33,73366071;30,4975;32,47553571;45,285625;68,21473214;55,15419643
2;2;3;1;Guayaquil;Quito;557,1490179;66,9075;52,52205357;45,67651786;42,09857143;58,48169643;68,66553571;50,85928571;12,28857143;29,39357143;41,531875;33,79160714;54,93223214
2;2;3;1;Quito;Cuenca;6,069642857;0,014732143;0,133571429;0,072678571;0,936964286;2,191160714;0,038303571;0,050089286;0,104107143;0,369285714;0,036339286;1,934821429;0,187589286
2;2;3;1;Cuenca;Quito;0,480267857;0;0;0;0,004910714;0;0;0;0;0,001964286;0,003928571;0;0,469464286
2;2;3;1;Guayaquil;Cuenca;3,796964286;0;0;0;0;0;2,559464286;0;0;0;0,464553571;0;0,772946429
2;2;3;1;Cuenca;Guayaquil;0,441964286;0;0;0;0;0;0;0;0;0;0;0,441964286;0
2;2;3;1;Manta;Baltra;24,07330357;6,180625;4,324375;7,872857143;5,695446429;0;0;0;0;0;0;0;0
2;2;3;1;Baltra;Manta;0,220982143;0,033392857;0,045178571;0,140446429;0,001964286;0;0;0;0;0;0;0;0
2;2;3;1;Quito;Baltra;2333,7875;189,8000893;184,3766964;211,0664286;196,4383929;206,5976786;187,2023214;195,6251786;201,3127679;151,971875;186,6572321;199,7727679;222,9660714
2;2;3;1;Baltra;Quito;371,2264286;42,62303571;30,036875;38,25642857;31,67901786;29,14214286;29,26982143;25,24107143;21,52267857;21,30955357;22,60401786;39,81508929;39,72669643
2;2;3;1;Guayaquil;Baltra;1923,251786;190,1664286;182,6942857;194,9416071;187,2180357;189,1096429;172,8483036;163,6691964;92,13482143;99,24946429;138,0460714;137,9203571;175,2535714
2;2;3;1;Baltra;Guayaquil;312,0611607;31,60142857;21,42741071;28,33285714;25,03678571;27,72883929;27,96357143;24,05169643;25,48366071;24,02125;24,14303571;28,455625;23,815
2;2;3;1;Quito;San Cristóbal;776,0666964;67,36616071;64,94026786;72,39080357;66,56375;70,57678571;59,59151786;60,2525;67,29642857;47,348125;63,35017857;64,60928571;71,78089286
2;2;3;1;San Cristóbal;Quito;162,9286607;23,43294643;23,37696429;10,59535714;5,258392857;7,203035714;5,356607143;6,397678571;5,751428571;5,346785714;12,29348214;20,10348214;37,8125
2;2;3;1;Guayaquil;San Cristóbal;959,6959821;94,20223214;86,43642857;106,1490179;90,40526786;54,61598214;95,37982143;87,443125;56,46633929;51,50455357;63,69785714;82,30258929;91,09276786
2;2;3;1;San Cristóbal;Guayaquil;192,0629464;21,02473214;11,49794643;20,53758929;12,29151786;12,98;11,00196429;15,544375;15,08767857;14,75080357;20,48946429;17,67758929;19,17928571
2;2;3;1;Quito;Coca;2,994553571;0,402678571;1,318035714;0,088392857;0,167946429;0,079553571;0,048125;0,034375;0,366339286;0,105089286;0,025535714;0,075625;0,282857143
2;2;3;1;Coca;Quito;0,015714286;0;0,000982143;0;0,014732143;0;0;0;0;0;0;0;0
2;2;3;1;Quito;Loja;30,55642857;2,509375;2,719553571;1,459464286;0,924196429;1,150089286;0,688482143;1,103928571;1,76;1,479107143;1,399553571;13,56633929;1,796339286
2;2;3;1;Loja;Quito;7,52125;0,953660714;0,282857143;0,793571429;0,494017857;0,77;0,300535714;0,387946429;0,643303571;0,912410714;0,650178571;0,911428571;0,421339286
2;2;3;1;Quito;Manta;33,43410714;7,222678571;5,137589286;8,987589286;6,489017857;0,791607143;0,876071429;0,711071429;0,721875;0,617767857;0,540178571;0,592232143;0,746428571
2;2;3;1;Manta;Quito;27,40571429;2,934642857;2,326696429;2,663571429;2,761785714;2,208839286;1,927946429;2,138125;2,203928571;2,120446429;2,04875;1,890625;2,180357143
2;2;3;1;Quito;Santa Rosa;6,03625;0,916339286;0,936964286;0,212142857;0,665892857;0,685535714;0,091339286;1,021428571;0,351607143;0,422321429;0,274017857;0,346696429;0,111964286
2;2;3;1;Santa Rosa;Quito;3,650625;0,199375;0;0,759196429;0;0,150267857;0,969375;0,138482143;0,792589286;0,048125;0,285803571;0,210178571;0,097232143
1;2;3;2;Quito;Guayaquil;3440;22;1325;205;161;512;129;257;124;194;102;251;158
1;2;3;2;Guayaquil;Quito;2566;0;695;124;129;630;297;301;171;6;53;160;0
1;2;3;2;Quito;Otros;21;0;1;0;0;0;0;0;0;0;0;17;3
1;2;3;2;Guayaquil;Otros;80;20;5;9;0;0;5;0;0;0;0;7;34
1;2;3;2;Quito;Cuenca;308;0;68;0;88;8;51;0;48;0;39;5;1
1;2;3;2;Cuenca;Quito;374;0;134;0;97;0;56;0;47;0;39;0;1
1;2;3;2;Guayaquil;Cuenca;247;0;20;0;0;0;0;0;130;72;0;25;0
1;2;3;2;Cuenca;Guayaquil;183;8;32;8;0;25;4;2;3;76;5;10;10
1;2;3;2;Cuenca;Otros;188;12;10;7;109;6;1;10;7;3;8;6;9
1;2;3;2;Quito;Tulcán;9;0;0;5;0;0;0;0;0;0;0;0;4
1;2;3;2;Tulcán;Otros;9;0;0;5;0;0;0;0;0;0;4;0;0
1;2;3;2;Riobamba;Quito;2;0;0;0;0;0;0;0;0;0;0;0;2
1;2;3;2;Riobamba;Otros;23;0;4;0;0;0;0;8;5;0;3;0;3
